id,brand,car_model,type,descproblem,datetime,status,desc,problem
489091,广汽本田,雅阁,2016款 2.0L CVT  舒适版,,2020-06-28,信息审核,广汽本田雅阁转向机异响厂家拒绝索赔,"D59,I297,"
489087,上汽斯柯达,速派,2018款 TSI330 DSG 舒适版 国V,,2020-06-28,信息审核,斯柯达速派变速箱机电单元故障希望处理,"B115,"
489085,一汽丰田,普锐斯,2005款 1.5 织物版,,2020-06-28,信息审核,一汽丰田普锐斯行驶过程中仪表黑屏突然熄火,"A14,H202,"
489082,长城汽车,哈弗H6 Coupe,2015款 2.0T 自动 两驱尊贵型,,2020-06-28,信息审核,哈弗H6 Coupe变速箱故障售后不予更换,"B84,B77,"
489079,奇瑞汽车,艾瑞泽7,2016款 1.6L CVT 致尚版,,2020-06-28,信息审核,奇瑞艾瑞泽7车门多处位置生锈腐蚀,"H79,"
489078,东风雪铁龙,雪铁龙C4L,2014款 1.8L 自动 智驱版 劲享型,,2020-06-28,信息审核,东风雪铁龙C4L天窗内有尖锐金属声导致漏水,"H90,"
489077,东风日产,楼兰,2015款 2.5L 两驱 智享版 XL NAVI,,2020-06-28,信息审核,东风日产楼兰变速箱阀体损坏希望解决,"B84,"
489076,上汽斯柯达,Yeti,2017款 TSI280 DSG 前行版,,2020-06-28,信息审核,斯柯达Yeti车身漏水导致车内积水,"H109,"
489075,华晨宝马,宝马3系,2020款 325Li M运动曜夜套装,,2020-06-28,信息审核,华晨宝马3系防冻液渗漏影响发动机工作,"A37,"
489074,奇瑞汽车,艾瑞泽5,2019款 1.5L 手动 新青春版 国VI,,2020-06-28,信息审核,奇瑞艾瑞泽5行驶中加速时存在异响,"B33,"
489073,众泰汽车,众泰E200,2018款 飞鱼座,,2020-06-28,信息审核,众泰E200索赔手套箱一直无配件更换,"N318,"
489068,上汽斯柯达,速派,2019款 TSI330 DSG 舒适版,,2020-06-28,信息审核,斯柯达速派发动机冷却系统故障 水温高,"A191,"
489059,一汽丰田,威驰,2019款 1.5L CVT 创行版,,2020-06-28,信息审核,一汽丰田威驰销售承诺赠送精品座垫未兑现,"L313,N317,"
489057,广汽丰田,雷凌,2019款 185T CVT 豪华版 国V,,2020-06-28,信息审核,广汽丰田雷凌轮毂轴承漏油 车内异响,"G105,H164,"
489055,东风标致,标致308S,2015款 1.2T 自动 劲驰版,,2020-06-28,信息审核,东风标致308S碳罐内进入汽油导致发动机熄火,"A24,A14,H271,"
489053,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,,2020-06-28,信息审核,一汽大众迈腾变速箱开启紧急模式无奇数挡,"B20,B96,"
489050,吉利汽车,远景,2017款 1.5L 自动 幸福版,,2020-06-28,信息审核,吉利远景变速箱损坏导致车辆无法行驶,"B334,"
489049,长城汽车,哈弗H6 Coupe,2015款 2.0T 自动 两驱精英型,,2020-06-28,信息审核,哈弗H6 coupe天窗漏水导致扬声器没有声音,"H134,H90,"
489048,吉利汽车,缤越,2019款 260T DCT Battle 运动款 国V,,2020-06-28,信息审核,吉利缤越车机系统升级承诺不兑现转向柱漏油,"D58,H164,H144,L314,"
489046,北汽昌河,昌河Q7,2018款 1.5T CVT 豪华型 5座,,2020-06-28,信息审核,北汽昌河Q7变速箱渗油启动马达失灵,"A44,G51,"
489045,一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享时尚型,,2020-06-28,信息审核,一汽大众奥迪Q5L打开点火开关后音响有异响,"H134,"
489042,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,,2020-06-28,信息审核,一汽大众迈腾变速器机电控制单元故障,"B84,"
489033,东风悦达起亚,起亚KX5,2016款 1.6T 自动 两驱DLX,,2020-06-28,信息审核,东风悦达起亚KX5空调出风温度不一致,"H101,"
489032,上汽集团,名爵6,2018款 20T 自动 豪华智联版 国VI,,2020-06-28,厂家受理,上汽名爵6变速箱顿挫异响 保险杠漆面开裂,"B33,B19,H81,"
489031,一汽-大众奥迪,奥迪Q5,2017款 2.0T 40 TFSI 技术型,,2020-06-28,信息审核,一汽大众奥迪Q5转向异响存在质量问题,"D59,"
489030,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,,2020-06-28,信息审核,广汽丰田凯美瑞车窗玻璃挂水严重影响视线,"H113,"
489025,吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,,2020-06-28,信息审核,吉利帝豪GL低速行驶时变速箱顿挫有异响	,"B33,B19,"
489024,一汽-大众,宝来,2018款 1.5L 自动 舒适型,,2020-06-28,信息审核,一汽大众宝来发动机报警加速无力,"A9,A34,A163,"
489023,上汽大众,朗逸,2015款 1.6 手动 舒适版,,2020-06-28,信息审核,上汽大众朗逸车内一直有异味影响健康,"H185,"
489019,一汽奔腾,奔腾T77,2019款 230 TID 自动 豪华型 国VI,,2020-06-28,处理反馈,一汽奔腾T77发动机故障灯加速无力,"A34,A163,"
489014,海马汽车,海马8S,2019款 1.6TGDI 自动 智版,,2020-06-28,信息审核,海马8S车身抖动严重希望尽快解决,"H268,"
489013,江铃汽车,域虎7,2016款 2.4T 四驱 豪华版JX4D24,,2020-06-28,信息审核,江铃域虎7车身生锈存在安全隐患,"H79,"
489009,海马汽车,海马S5,2018款 1.5T 手动 豪华型,,2020-06-28,信息审核,海马S5购车赠送常规保养未兑现,"L313,"
489002,北京现代,菲斯塔,2019款 240TGDi 运动版 国VI,,2020-06-28,信息审核,北京现代菲斯塔变速箱异响厂家告知正常,"B33,I295,"
488992,上汽大众,朗逸,2019款 1.5L 手动 舒适版 国VI,,2020-06-28,信息审核,上汽大众朗逸玛吉斯轮胎开裂希望厂家处理,"F100,"
488990,吉利汽车,星越,2019款 改款 350T 耀星者,,2020-06-28,信息审核,吉利星越车机系统死机影响正常使用,"H155,M279,"
488985,吉利汽车,帝豪GL,2017款 1.3T 手动 精英型,,2020-06-28,处理反馈,吉利帝豪GL副驾驶座椅缝线开裂海绵漏出,"H168,H169,"
488983,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,,2020-06-28,处理反馈,吉利博越实车没有前雾灯和挡位显示灯,"M279,"
488981,吉利汽车,博越,2020款 1.8TD DCT 两驱 智联型4G互联版,,2020-06-28,处理反馈,吉利博越方向盘多功能按键松动失灵,"H134,"
488979,广汽菲克Jeep,大指挥官,2018款 2.0T 四驱 悦享版 国V,,2020-06-28,信息审核,广汽菲克Jeep大指挥官传动轴生锈,"H79,"
488977,北汽新能源,EV系列,2016款 EV160 轻快版,,2020-06-28,处理反馈,北汽新能源EV系列续航里程与电量衰退,"H344,"
488976,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,,2020-06-28,信息审核,长安马自达昂克赛拉中控显示屏面板爆裂,"H134,H168,"
488975,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 时尚型典藏版,,2020-06-28,信息审核,一汽大众奥迪Q3发动机高压油泵异响,"A9,"
488974,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,,2020-06-28,信息审核,一汽大众探岳更换大灯后再次发生白内障,"H82,"
488973,东南汽车,V5菱致,2015款 1.5L CVT 智尊型 plus,,2020-06-28,信息审核,东南V5菱致开启空调后变速箱异响,"B33,"
488972,北京现代,名图,2017款 1.6T 自动 智能型 GLS,,2020-06-28,信息审核,北京现代名图座椅异响多次处理没解决,"H169,"
488971,广汽本田,飞度,2014款 1.5L CVT LX舒适型,,2020-06-28,信息审核,广汽本田飞度车身侧裙位置大面积生锈,"H79,"
488969,长安汽车,长安欧尚CX70,2017款 CX70T 1.5T 自动 豪擎版 改款,,2020-06-28,厂家受理,长安欧尚CX70发动机点火线圈位置渗油,"A12,"
488967,东风标致,标致4008,2017款 350THP 舒适版,,2020-06-28,信息审核,东风标致4008转向时方向盘异响严重,"D59,"
488964,上汽大众,途观L,2017款 380TSI 四驱 豪华版,,2020-06-28,信息审核,上汽大众途观L变速箱机电单元故障,"B84,"
488954,一汽-大众,宝来,2019款 1.5L 自动 时尚型,,2020-06-28,信息审核,一汽大众宝来大灯进水胎压误报自动驻车故障,"H88,H170,H203,"
488948,广汽本田,飞度,2014款 1.5L CVT LX舒适型,,2020-06-28,信息审核,广汽本田飞度飞度发动机启动困难希望厂家处理,"A44,"
488943,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,,2020-06-28,信息审核,上汽大众朗逸变速箱异响严重希望处理,"B33,"
488941,比亚迪,比亚迪e5,2017款 300 尊贵型,,2020-06-28,处理反馈,比亚迪e5电池电量严重衰减无法行驶,"H343,"
488938,北京奔驰,奔驰C级,2015款 180 L 运动型 改款,,2020-06-28,信息审核,北京奔驰C级空调制冷效果差要求免费维修,"H101,"
488936,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,,2020-06-28,信息审核,一汽大众迈腾行驶中变速箱报警 挡位缺失,"B96,B84,"
488931,广汽本田,雅阁,2016款 2.4L CVT  舒适版,,2020-06-28,信息审核,广汽本田雅阁4S店维修车辆修出新问题,"J300,"
488929,上汽大众,途观,2015款 1.8TSI 自动 两驱 舒适版 5座,,2020-06-28,信息审核,上汽大众途观车窗无法关闭导致车内进水,"H67,"
488923,奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 豪华版,,2020-06-28,信息审核,奇瑞艾瑞泽5行驶过程中变速箱故障灯亮,"B96,"
488922,长安汽车,长安CS35,2012款 1.6 自动 豪华型,,2020-06-28,信息审核,长安CS35减震器漏油车窗升降失灵汽油箱生锈,"A85,G25,H79,H67,"
488915,广汽菲克Jeep,大指挥官,2018款 2.0T 两驱 进享版 国V,,2020-06-28,信息审核,广汽菲克Jeep大指挥官经销商出售库存车,"M283,"
488914,东风雪铁龙,爱丽舍,2015款 1.6L 自动 舒适型,,2020-06-28,信息审核,东风雪铁龙爱丽舍方向盘失灵无法转动,"D57,"
488911,东风标致,标致408,2014款 1.8L 自动 豪华版,,2020-06-28,信息审核,东风标致408发动机出现烧机油的现象	,"A63,"
488908,一汽-大众,速腾,2020款 200TSI DSG 舒适型 国VI,,2020-06-28,处理反馈,一汽大众速腾4S店变相收费而且不予上牌,"K307,K325,L314,"
488907,上汽大众,朗行,2013款 1.4TSI 自动 舒适型,,2020-06-28,信息审核,上汽大众朗行车内一直有浓重的异味,"H185,"
488905,一汽-大众,探岳,2019款 330TSI 两驱 舒适型 国Ⅵ,,2020-06-28,信息审核,一汽大众探岳左后轮位置悬架异响严重,"G204,"
488895,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,,2020-06-28,信息审核,吉利博越实车配置与官方宣传不符,"M279,"
488893,长城汽车,长城C30,2013款 1.5L 手动 舒适型,,2020-06-28,信息审核,长安C30车身轮眉生锈影响驾驶安全,"H79,"
